date_time,rack,ramo,perna,posicao,num_serie,capacitancia_fabrica_uF,delta_capacitancia_fabrica_%,capacitancia_campo_uF,delta_capacitancia_campo_%,temperatura_capacitor_C,capacitancia_campo_ajustada_uF,conformidade,INV_capacitancia_campo_ajustada_uF
22/12/2020 08:09:18,R1,A1,p1,1,923,24.87,2.34567901234568,24.58666666666667,1.1796982167352628,25,24.63593854375418,C,0.040591106290672446
22/12/2020 08:10:12,R1,A1,p1,2,925,24.88,2.3868312757201577,24.58,1.1522633744855868,26,24.639133921411386,C,0.04058584214808788
22/12/2020 08:10:48,R1,A2,p1,3,924,24.86,2.3045267489711883,24.64,1.3991769547325097,26,24.69927826784282,C,0.04048701298701299
22/12/2020 08:11:24,R1,A2,p1,4,919,24.95,2.674897119341558,24.703333333333333,1.6598079561042487,27,24.77269688461024,C,0.04036702199433275
22/12/2020 08:12:20,R1,A2,p1,5,557,24.57,1.1111111111111094,24.41333333333333,0.4663923182441553,27,24.481882604626286,C,0.04084653194975423
22/12/2020 08:12:57,R1,A2,p1,6,794,24.67,1.522633744855971,24.48,0.7407407407407396,27,24.548736462093864,C,0.04073529411764706
22/12/2020 08:13:29,R1,A1,p1,7,833,24.98,2.7983539094650194,24.74,1.810699588477357,27,24.809466506217408,C,0.040307194826192404
22/12/2020 08:14:00,R1,A1,p1,8,842,24.56,1.0699588477366173,24.426666666666666,0.521262002743478,28,24.505082932049223,C,0.040807860262008736
22/12/2020 08:14:42,R1,A1,p1,9,1049,24.94,2.6337448559670804,24.83666666666667,2.2085048010974027,28,24.916399143927237,C,0.04013421017313112
22/12/2020 08:15:18,R1,A1,p1,10,1046,24.94,2.6337448559670804,24.80333333333333,2.071330589849096,28,24.882958801498123,C,0.04018814675446849
22/12/2020 08:17:10,R1,A2,p1,11,831,24.79,2.016460905349788,24.55,1.02880658436214,29,24.638699317543157,C,0.040586558044806514
22/12/2020 08:18:57,R1,A2,p1,12,838,24.72,1.7283950617283874,24.52333333333333,0.9190672153634944,29,24.611936304027832,C,0.040630691858094335
22/12/2020 08:19:33,R1,A2,p1,13,560,24.57,1.1111111111111094,24.393333333333334,0.38408779149520045,29,24.481466613140643,C,0.04084722601803771
22/12/2020 08:20:34,R1,A2,p1,14,906,24.66,1.4814814814814792,24.53333333333333,0.9602194787379865,29,24.62197243409608,C,0.04061413043478261
22/12/2020 08:21:08,R1,A1,p1,15,644,24.69,1.6049382716049405,24.353333333333335,0.21947873799726159,30,24.451137884872825,C,0.04089789214344374
22/12/2020 08:22:06,R1,A1,p1,16,646,24.69,1.6049382716049405,24.47,0.6995884773662475,30,24.568273092369477,C,0.04070290151205558
22/12/2020 08:22:51,R1,A1,p1,17,1038,24.64,1.3991769547325097,24.49,0.781893004115217,30,24.588353413654616,C,0.04066966108615762
22/12/2020 08:23:31,R1,A1,p1,18,1062,25.02,2.9629629629629584,24.813333333333333,2.1124828532235878,30,24.91298527443106,C,0.04013970983342289
22/12/2020 08:24:49,R1,A2,p1,19,1045,24.97,2.757201646090527,24.78333333333333,1.9890260631001264,30,24.882864792503344,C,0.040188298587760594
22/12/2020 08:25:33,R1,A2,p1,20,1087,24.82,2.1399176954732493,24.790000000000003,2.016460905349802,30,24.88955823293173,C,0.04017749092375958
22/12/2020 08:26:14,R1,A2,p1,21,640,24.69,1.6049382716049405,24.403333333333336,0.42524005486969246,30,24.501338688085678,C,0.04081409643491326
22/12/2020 08:27:02,R1,A2,p1,22,643,24.69,1.6049382716049405,24.513333333333332,0.877914951989017,30,24.611780455153948,C,0.04063094914332337
22/12/2020 08:27:36,R1,A1,p1,23,634,24.82,2.1399176954732493,24.650000000000002,1.4403292181070018,30,24.748995983935746,C,0.04040567951318458
22/12/2020 08:28:21,R1,A1,p1,24,1078,24.94,2.6337448559670804,24.636666666666667,1.385459533607679,30,24.735609103078982,C,0.04042754701664186
22/12/2020 08:29:02,R1,A1,p1,25,631,24.77,1.9341563786008182,24.583333333333332,1.1659807956104173,30,24.68206157965194,C,0.04051525423728814
22/12/2020 08:29:52,R1,A1,p1,26,637,24.69,1.6049382716049405,24.569999999999997,1.1111111111110947,30,24.66867469879518,C,0.04053724053724054
22/12/2020 08:30:34,R1,A2,p1,27,636,24.55,1.02880658436214,24.400000000000002,0.4115226337448618,30,24.49799196787149,C,0.04081967213114754
22/12/2020 08:31:31,R1,A2,p1,28,639,24.69,1.6049382716049405,24.439999999999998,0.5761316872427861,30,24.538152610441763,C,0.040752864157119484
22/12/2020 08:32:28,R1,A2,p1,29,630,24.92,2.551440329218111,24.64,1.3991769547325097,30,24.738955823293175,C,0.04042207792207792
22/12/2020 08:33:11,R1,A2,p1,30,635,24.63,1.3580246913580176,24.47,0.6995884773662475,30,24.568273092369477,C,0.04070290151205558
22/12/2020 08:33:54,R1,A1,p1,31,633,24.87,2.34567901234568,24.623333333333335,1.330589849108371,30,24.722222222222225,C,0.04044943820224719
22/12/2020 08:34:37,R1,A1,p1,32,632,24.69,1.6049382716049405,24.486666666666668,0.7681755829904009,30,24.58500669344043,C,0.0406751973863327
22/12/2020 08:37:18,R2,A3,p3,33,1068,24.82,2.1399176954732493,24.616666666666664,1.303155006858695,31,24.725458684880135,C,0.040444143534190936
22/12/2020 08:38:13,R2,A3,p3,34,1067,24.85,2.2633744855967106,24.643333333333334,1.4128943758573402,31,24.752243203428417,C,0.040400378736642775
22/12/2020 08:38:58,R2,A4,p3,35,563,24.48,0.7407407407407396,24.236666666666665,-0.2606310013717536,31,24.34377929556716,C,0.041078256085820386
