Serial	Date Time	ref(uF)	(uF)	(uF)	(uF)	(uF)	(uF)	(C)
          	22/12/2020 09:17:52	0,00	24,62	24,56	24,58	0	0	+33
          	22/12/2020 09:18:40	0,00	24,71	24,70	24,72	0	0	+34
          	22/12/2020 09:19:44	0,00	24,29	24,26	24,26	0	0	+34
          	22/12/2020 09:20:19	0,00	24,60	24,60	24,58	0	0	+34
          	22/12/2020 09:21:00	0,00	24,52	24,51	24,53	0	0	+34
          	22/12/2020 09:21:50	0,00	24,49	24,51	24,55	0	0	+34
          	22/12/2020 09:25:07	0,00	24,39	24,58	24,51	0	0	+34
          	22/12/2020 09:25:44	0,00	24,65	24,72	24,68	0	0	+34
          	22/12/2020 09:26:28	0,00	24,46	24,43	24,46	0	0	+34
          	22/12/2020 09:27:08	0,00	24,65	24,58	24,71	0	0	+34
          	22/12/2020 09:27:53	0,00	24,68	24,64	24,66	0	0	+34
          	22/12/2020 09:28:34	0,00	24,69	24,61	24,56	0	0	+34
          	22/12/2020 09:29:16	0,00	24,75	24,78	24,78	0	0	+34
          	22/12/2020 09:29:53	0,00	24,66	24,70	24,65	0	0	+34
          	22/12/2020 09:30:36	0,00	24,31	24,33	24,29	0	0	+34
          	22/12/2020 09:31:15	0,00	24,64	24,60	24,69	0	0	+34
          	22/12/2020 09:31:55	0,00	24,64	24,67	24,56	0	0	+34
          	22/12/2020 09:32:28	0,00	24,51	24,52	24,60	0	0	+34
          	22/12/2020 09:33:15	0,00	24,55	24,63	24,59	0	0	+34
          	22/12/2020 09:34:02	0,00	24,56	24,51	24,53	0	0	+34
          	22/12/2020 09:34:36	0,00	24,56	24,58	24,56	0	0	+34
          	22/12/2020 09:35:30	0,00	24,65	24,61	24,60	0	0	+34
          	22/12/2020 09:36:04	0,00	24,24	24,22	24,24	0	0	+34
          	22/12/2020 09:36:38	0,00	24,62	24,62	24,61	0	0	+34
          	22/12/2020 09:37:13	0,00	24,67	24,68	24,66	0	0	+34
          	22/12/2020 09:37:48	0,00	24,52	24,49	24,44	0	0	+34
